Canada Youth Population,,,,,,,,
,2006,,2011,,2016,,2021,
Age Group,N,%,N,%,N,%,N,%
Age 15-19,"2,140,490",34.5,"2,178,135",33.3,"2,026,160",30.9,"2,012,975",30.3
Age 20-24,"2,080,385",33.5,"2,187,450",33.5,"2,242,690",34.2,"2,202,255",33.2
Age 25-29,"1,985,580",32.0,"2,169,590",33.2,"2,285,990",34.9,"2,421,510",36.5
Total,"6,206,455",100,"6,535,175",100,"6,554,840",100,"6,636,740",100
,,,,,,,,
Youth as a Percentage of Canada's Population,,,,,,,,
,2006,,2011,,2016,,2021,
,N,%,N,%,N,%,N,%
Youth Aged 15-29,"6,206,455",19.6,"6,535,175",19.5,"6,554,840",18.6,"6,636,740",17.9
Non-Youth Population,"25,406,440",80.4,"26,941,513",80.5,"28,596,888",81.4,"30,355,241",82.1
Total Canada Population,"31,612,895",100,"33,476,688",100,"35,151,728",100,"36,991,981",100
,,,,,,,,
Ontario Youth Population,,,,,,,,
,2006,,2011,,2016,,2021,
,N,%,N,%,N,%,N,%
Age 15-19,"827,560",35.1,"856,955",34.1,"807,215",31.5,"799,290",30.1
Age 20-24,"791,185",33.6,"845,395",33.7,"888,580",34.6,"888,600",33.4
Age 25-29,"738,225",31.3,"808,445",32.2,"868,645",33.9,"969,170",36.5
Total Youth ,"2,356,970",100,"2,510,795",100,"2,564,455",100,"2,657,060",100.0
,,,,,,,,
Youth as a Percentage of Ontario's Population,,,,,,,,
,2006,,2011,,2016,,2021,
,N,%,N,%,N,%,N,%
Youth Aged 15-29,"2,356,970",19.4,"2,510,795",19.5,"2,564,455",19.1,"2,657,060",18.7
Non-Youth Population,"9,803,312",80.6,"10,341,026",80.5,"10,884,039",80.9,"11,566,882",81.3
Total Ontario Population,"12,160,282",100,"12,851,821",100,"13,448,494",100,"14,223,942",100