category,immigration,Age 15-19,Age 20-24,Age 25-29
    High (secondary) school diploma or equivalency certificate,      Immigrants sponsored by family,6520,13130,13100
    High (secondary) school diploma or equivalency certificate,      Refugees,8860,15790,10815
    High (secondary) school diploma or equivalency certificate,      Other immigrants,945,1670,925
    High (secondary) school diploma or equivalency certificate,    Immigrants admitted before 1980,0,0,0
    High (secondary) school diploma or equivalency certificate,  Non-permanent residents,10670,33815,10380
    Apprenticeship or trades certificate or diploma,Total -  Population by immigration status,4025,20120,31385
    Apprenticeship or trades certificate or diploma,  Non-immigrants,2845,15920,25640
    Apprenticeship or trades certificate or diploma,  Immigrants,955,3130,4560
    Apprenticeship or trades certificate or diploma,    Immigrants who landed 1980 to 2021,955,3130,4560
    Apprenticeship or trades certificate or diploma,      Economic immigrants,430,1465,1620
    Apprenticeship or trades certificate or diploma,        Principal applicants,0,90,285
    Apprenticeship or trades certificate or diploma,        Secondary applicants,430,1375,1330
    Apprenticeship or trades certificate or diploma,      Immigrants sponsored by family,180,675,1475
    Apprenticeship or trades certificate or diploma,      Refugees,320,915,1305
    Apprenticeship or trades certificate or diploma,      Other immigrants,30,75,160
    Apprenticeship or trades certificate or diploma,    Immigrants admitted before 1980,0,0,0
    Apprenticeship or trades certificate or diploma,  Non-permanent residents,220,1070,1195
"    College, CEGEP or other non-university certificate or diploma",Total -  Population by immigration status,12955,156380,212005
"    College, CEGEP or other non-university certificate or diploma",  Non-immigrants,9635,111590,161825
"    College, CEGEP or other non-university certificate or diploma",  Immigrants,1685,20885,36780
"    College, CEGEP or other non-university certificate or diploma",    Immigrants who landed 1980 to 2021,1685,20885,36780
"    College, CEGEP or other non-university certificate or diploma",      Economic immigrants,930,11820,18810
"    College, CEGEP or other non-university certificate or diploma",        Principal applicants,35,2055,5255
"    College, CEGEP or other non-university certificate or diploma",        Secondary applicants,890,9760,13550
"    College, CEGEP or other non-university certificate or diploma",      Immigrants sponsored by family,345,4010,9475
"    College, CEGEP or other non-university certificate or diploma",      Refugees,370,4440,7700
"    College, CEGEP or other non-university certificate or diploma",      Other immigrants,40,620,790
"    College, CEGEP or other non-university certificate or diploma",    Immigrants admitted before 1980,0,0,0
"    College, CEGEP or other non-university certificate or diploma",  Non-permanent residents,1630,23900,13405
"    University certificate, diploma or degree",Total -  Population by immigration status,3255,235415,456475
"    University certificate, diploma or degree",  Non-immigrants,1895,152580,259315
"    University certificate, diploma or degree",  Immigrants,895,47905,130760
"    University certificate, diploma or degree",    Immigrants who landed 1980 to 2021,895,47905,130760
"    University certificate, diploma or degree",      Economic immigrants,650,36000,96230
"    University certificate, diploma or degree",        Principal applicants,10,1905,29810
"    University certificate, diploma or degree",        Secondary applicants,640,34095,66420
"    University certificate, diploma or degree",      Immigrants sponsored by family,90,6085,21090
"    University certificate, diploma or degree",      Refugees,135,5310,12445
"    University certificate, diploma or degree",      Other immigrants,20,515,995
"    University certificate, diploma or degree",    Immigrants admitted before 1980,0,0,0
"    University certificate, diploma or degree",  Non-permanent residents,465,34935,66400
      University certificate or diploma below bachelor level,Total -  Population by immigration status,1785,18925,21540
      University certificate or diploma below bachelor level,  Non-immigrants,1015,9330,10520
      University certificate or diploma below bachelor level,  Immigrants,505,4655,7410
      University certificate or diploma below bachelor level,    Immigrants who landed 1980 to 2021,505,4655,7410
      University certificate or diploma below bachelor level,      Economic immigrants,365,3065,4240
      University certificate or diploma below bachelor level,        Principal applicants,15,430,1325
      University certificate or diploma below bachelor level,        Secondary applicants,355,2630,2920
      University certificate or diploma below bachelor level,      Immigrants sponsored by family,40,795,1875
      University certificate or diploma below bachelor level,      Refugees,85,735,1205
      University certificate or diploma below bachelor level,      Other immigrants,10,60,80
      University certificate or diploma below bachelor level,    Immigrants admitted before 1980,0,0,0
      University certificate or diploma below bachelor level,  Non-permanent residents,270,4940,3610
"      University certificate, diploma or degree at bachelor's or above",Total -  Population by immigration status,1470,216490,434935
"      University certificate, diploma or degree at bachelor's or above",  Non-immigrants,885,143245,248795
"      University certificate, diploma or degree at bachelor's or above",  Immigrants,385,43245,123350
"      University certificate, diploma or degree at bachelor's or above",    Immigrants who landed 1980 to 2021,385,43245,123350
"      University certificate, diploma or degree at bachelor's or above",      Economic immigrants,280,32940,91990
"      University certificate, diploma or degree at bachelor's or above",        Principal applicants,0,1475,28485
"      University certificate, diploma or degree at bachelor's or above",        Secondary applicants,280,31460,63500
"      University certificate, diploma or degree at bachelor's or above",      Immigrants sponsored by family,50,5290,19210
"      University certificate, diploma or degree at bachelor's or above",      Refugees,50,4575,11245
"      University certificate, diploma or degree at bachelor's or above",      Other immigrants,10,450,910
"      University certificate, diploma or degree at bachelor's or above",    Immigrants admitted before 1980,0,0,0
"      University certificate, diploma or degree at bachelor's or above",  Non-permanent residents,200,29995,62790
Total - Labour force status,Total -  Population by immigration status,799290,888600,969170
Total - Labour force status,  Non-immigrants,667380,639795,653410
Total - Labour force status,  Immigrants,109345,152735,222375
Total - Labour force status,    Immigrants who landed 1980 to 2021,109345,152735,222375
Total - Labour force status,      Economic immigrants,64575,93010,132680
Total - Labour force status,        Principal applicants,255,5190,37055
Total - Labour force status,        Secondary applicants,64325,87825,95625
Total - Labour force status,      Immigrants sponsored by family,15955,26195,49600
Total - Labour force status,      Refugees,26365,30440,36930
Total - Labour force status,      Other immigrants,2440,3085,3170
Total - Labour force status,    Immigrants admitted before 1980,0,0,0
Total - Labour force status,  Non-permanent residents,22575,96075,93385
  In the labour force,Total -  Population by immigration status,313945,654130,812180
  In the labour force,  Non-immigrants,275820,484845,553725
  In the labour force,  Immigrants,31595,103815,181385
  In the labour force,    Immigrants who landed 1980 to 2021,31595,103815,181385
  In the labour force,      Economic immigrants,18585,64405,114300
  In the labour force,        Principal applicants,95,4205,34410
  In the labour force,        Secondary applicants,18485,60205,79885
  In the labour force,      Immigrants sponsored by family,4890,17325,36800
  In the labour force,      Refugees,7365,19900,27740
  In the labour force,      Other immigrants,755,2175,2545
  In the labour force,    Immigrants admitted before 1980,0,0,0
  In the labour force,  Non-permanent residents,6530,65470,77070
    Employed,Total -  Population by immigration status,226370,496940,706680
    Employed,  Non-immigrants,201080,365310,481430
    Employed,  Immigrants,20640,76510,156240
    Employed,    Immigrants who landed 1980 to 2021,20640,76510,156240
    Employed,      Economic immigrants,12085,47920,101715
    Employed,        Principal applicants,75,3805,32270
    Employed,        Secondary applicants,12015,44115,69440
    Employed,      Immigrants sponsored by family,3280,12890,30330
    Employed,      Refugees,4820,14125,22065
    Employed,      Other immigrants,455,1570,2130
    Employed,    Immigrants admitted before 1980,0,0,0
    Employed,  Non-permanent residents,4645,55110,69015
    Unemployed,Total -  Population by immigration status,87580,157190,105495
    Unemployed,  Non-immigrants,74740,119530,72295
    Unemployed,  Immigrants,10955,27305,25150
    Unemployed,    Immigrants who landed 1980 to 2021,10955,27305,25150
    Unemployed,      Economic immigrants,6495,16490,12585
    Unemployed,        Principal applicants,25,405,2145
    Unemployed,        Secondary applicants,6470,16085,10440
    Unemployed,      Immigrants sponsored by family,1610,4435,6470
    Unemployed,      Refugees,2545,5775,5675
    Unemployed,      Other immigrants,300,605,420
    Unemployed,    Immigrants admitted before 1980,0,0,0
    Unemployed,  Non-permanent residents,1880,10355,8055
  Not in the labour force,Total -  Population by immigration status,485350,234475,156995
  Not in the labour force,  Non-immigrants,391560,154950,99690
  Not in the labour force,  Immigrants,77745,48915,40985
  Not in the labour force,    Immigrants who landed 1980 to 2021,77745,48915,40985
  Not in the labour force,      Economic immigrants,45995,28605,18375
  Not in the labour force,        Principal applicants,155,980,2640
  Not in the labour force,        Secondary applicants,45840,27625,15735
  Not in the labour force,      Immigrants sponsored by family,11065,8865,12795
  Not in the labour force,      Refugees,19000,10545,9185
  Not in the labour force,      Other immigrants,1685,905,625
  Not in the labour force,    Immigrants admitted before 1980,0,0,0
  Not in the labour force,  Non-permanent residents,16045,30605,16320
Unemployment rate %,Total -  Population by immigration status,28,24,13
Unemployment rate %,  Non-immigrants,27,25,13
Unemployment rate %,  Immigrants,35,26,14
Unemployment rate %,    Immigrants who landed 1980 to 2021,35,26,14
Unemployment rate %,      Economic immigrants,35,26,11
Unemployment rate %,        Principal applicants,26,10,6
Unemployment rate %,        Secondary applicants,35,27,13
Unemployment rate %,      Immigrants sponsored by family,33,26,18
Unemployment rate %,      Refugees,35,29,21
Unemployment rate %,      Other immigrants,40,28,17
Unemployment rate %,    Immigrants admitted before 1980,0,0,0
Unemployment rate %,  Non-permanent residents,29,16,11
Employment rate %,Total -  Population by immigration status,28,56,73
Employment rate %,  Non-immigrants,30,57,74
Employment rate %,  Immigrants,19,50,70
Employment rate %,    Immigrants who landed 1980 to 2021,19,50,70
Employment rate %,      Economic immigrants,19,52,77
Employment rate %,        Principal applicants,29,73,87
Employment rate %,        Secondary applicants,19,50,73
Employment rate %,      Immigrants sponsored by family,21,49,61
Employment rate %,      Refugees,18,46,60
Employment rate %,      Other immigrants,19,51,67
Employment rate %,    Immigrants admitted before 1980,0,0,0
Employment rate %,  Non-permanent residents,21,57,74
Participation rate %,Total -  Population by immigration status,39,74,84
Participation rate %,  Non-immigrants,41,76,85
Participation rate %,  Immigrants,29,68,82
Participation rate %,    Immigrants who landed 1980 to 2021,29,68,82
Participation rate %,      Economic immigrants,29,69,86
Participation rate %,        Principal applicants,37,81,93
Participation rate %,        Secondary applicants,29,69,84
Participation rate %,      Immigrants sponsored by family,31,66,74
Participation rate %,      Refugees,28,65,75
Participation rate %,      Other immigrants,31,71,80
Participation rate %,    Immigrants admitted before 1980,0,0,0
Participation rate %,  Non-permanent residents,29,68,83
Total - Labour force by class of worker,Total -  Population by immigration status,799290,888600,969170
Total - Labour force by class of worker,  Non-immigrants,667380,639795,653410
Total - Labour force by class of worker,  Immigrants,109345,152735,222375
Total - Labour force by class of worker,    Immigrants who landed 1980 to 2021,109345,152735,222375
Total - Labour force by class of worker,      Economic immigrants,64575,93010,132680
Total - Labour force by class of worker,        Principal applicants,255,5190,37055
Total - Labour force by class of worker,        Secondary applicants,64325,87825,95625
Total - Labour force by class of worker,      Immigrants sponsored by family,15955,26195,49600
Total - Labour force by class of worker,      Refugees,26365,30440,36930
Total - Labour force by class of worker,      Other immigrants,2440,3085,3170
Total - Labour force by class of worker,    Immigrants admitted before 1980,0,0,0
Total - Labour force by class of worker,  Non-permanent residents,22575,96075,93385
"  Not applicable (persons who have never worked, or worked before Jan 1, 2020)",Total -  Population by immigration status,423380,176750,123090
"  Not applicable (persons who have never worked, or worked before Jan 1, 2020)",  Non-immigrants,335250,113110,76795
"  Not applicable (persons who have never worked, or worked before Jan 1, 2020)",  Immigrants,72175,38620,33620
"  Not applicable (persons who have never worked, or worked before Jan 1, 2020)",    Immigrants who landed 1980 to 2021,72175,38620,33620
"  Not applicable (persons who have never worked, or worked before Jan 1, 2020)",      Economic immigrants,42640,22350,14690
"  Not applicable (persons who have never worked, or worked before Jan 1, 2020)",        Principal applicants,160,865,1735
"  Not applicable (persons who have never worked, or worked before Jan 1, 2020)",        Secondary applicants,42480,21485,12955
"  Not applicable (persons who have never worked, or worked before Jan 1, 2020)",      Immigrants sponsored by family,10425,7110,10635
"  Not applicable (persons who have never worked, or worked before Jan 1, 2020)",      Refugees,17505,8415,7745
"  Not applicable (persons who have never worked, or worked before Jan 1, 2020)",      Other immigrants,1605,745,545
"  Not applicable (persons who have never worked, or worked before Jan 1, 2020)",    Immigrants admitted before 1980,0,0,0
"  Not applicable (persons who have never worked, or worked before Jan 1, 2020)",  Non-permanent residents,15950,25020,12675
  All classes of worker,Total -  Population by immigration status,375915,711850,846085
  All classes of worker,  Non-immigrants,332125,526685,576615
  All classes of worker,  Immigrants,37165,114115,188760
  All classes of worker,    Immigrants who landed 1980 to 2021,37165,114115,188760
  All classes of worker,      Economic immigrants,21935,70665,117990
  All classes of worker,        Principal applicants,95,4325,35325
  All classes of worker,        Secondary applicants,21845,66340,82665
  All classes of worker,      Immigrants sponsored by family,5530,19080,38965
  All classes of worker,      Refugees,8860,22030,29180
  All classes of worker,      Other immigrants,835,2345,2625
  All classes of worker,    Immigrants admitted before 1980,0,0,0
  All classes of worker,  Non-permanent residents,6620,71055,80715
    Paid workers,Total -  Population by immigration status,370205,707675,843490
    Paid workers,  Non-immigrants,327280,523805,575165
    Paid workers,  Immigrants,36355,112920,187755
    Paid workers,    Immigrants who landed 1980 to 2021,36355,112920,187755
    Paid workers,      Economic immigrants,21415,69950,117520
    Paid workers,        Principal applicants,90,4320,35300
    Paid workers,        Secondary applicants,21325,65630,82225
    Paid workers,      Immigrants sponsored by family,5455,18850,38670
    Paid workers,      Refugees,8675,21815,28950
    Paid workers,      Other immigrants,810,2300,2610
    Paid workers,    Immigrants admitted before 1980,0,0,0
    Paid workers,  Non-permanent residents,6570,70950,80570
      Employee,Total -  Population by immigration status,357335,673920,777575
      Employee,  Non-immigrants,316575,500465,532880
      Employee,  Immigrants,34495,105795,168680
      Employee,    Immigrants who landed 1980 to 2021,34495,105795,168680
      Employee,      Economic immigrants,20335,65915,106960
      Employee,        Principal applicants,90,4015,32290
      Employee,        Secondary applicants,20245,61900,74665
      Employee,      Immigrants sponsored by family,5170,17620,34175
      Employee,      Refugees,8225,20135,25215
      Employee,      Other immigrants,765,2120,2330
      Employee,    Immigrants admitted before 1980,0,0,0
      Employee,  Non-permanent residents,6265,67660,76015
      Self employed incorporated,Total -  Population by immigration status,650,5000,16450
      Self employed incorporated,  Non-immigrants,400,3040,9065
      Self employed incorporated,  Immigrants,220,1395,6280
      Self employed incorporated,    Immigrants who landed 1980 to 2021,220,1395,6280
      Self employed incorporated,      Economic immigrants,95,870,3880
      Self employed incorporated,        Principal applicants,0,165,1600
      Self employed incorporated,        Secondary applicants,95,705,2280
      Self employed incorporated,      Immigrants sponsored by family,50,175,1315
      Self employed incorporated,      Refugees,75,335,1020
      Self employed incorporated,      Other immigrants,0,10,70
      Self employed incorporated,    Immigrants admitted before 1980,0,0,0
      Self employed incorporated,  Non-permanent residents,30,565,1110
      Self employed unincorporated,Total -  Population by immigration status,12215,28755,49465
      Self employed unincorporated,  Non-immigrants,10310,20295,33225
      Self employed unincorporated,  Immigrants,1635,5730,12790
      Self employed unincorporated,    Immigrants who landed 1980 to 2021,1635,5730,12790
      Self employed unincorporated,      Economic immigrants,985,3170,6680
      Self employed unincorporated,        Principal applicants,0,140,1405
      Self employed unincorporated,        Secondary applicants,985,3030,5275
      Self employed unincorporated,      Immigrants sponsored by family,230,1055,3180
      Self employed unincorporated,      Refugees,375,1345,2720
      Self employed unincorporated,      Other immigrants,40,165,210
      Self employed unincorporated,    Immigrants admitted before 1980,0,0,0
      Self employed unincorporated,  Non-permanent residents,275,2725,3445
    Unpaid family worker,Total -  Population by immigration status,5710,4180,2595
    Unpaid family worker,  Non-immigrants,4850,2880,1450
    Unpaid family worker,  Immigrants,810,1200,1005
    Unpaid family worker,    Immigrants who landed 1980 to 2021,810,1200,1005
    Unpaid family worker,      Economic immigrants,525,720,470
    Unpaid family worker,        Principal applicants,0,0,30
    Unpaid family worker,        Secondary applicants,520,715,445
    Unpaid family worker,      Immigrants sponsored by family,80,230,290
    Unpaid family worker,      Refugees,185,210,230
    Unpaid family worker,      Other immigrants,30,45,10
    Unpaid family worker,    Immigrants admitted before 1980,0,0,0
    Unpaid family worker,  Non-permanent residents,50,105,140
Total - Income status (LICO),Total -  Population by immigration status,799290,888600,969170
Total - Income status (LICO),  Non-immigrants,667380,639795,653410
Total - Income status (LICO),  Immigrants,109345,152735,222375
Total - Income status (LICO),    Immigrants who landed 1980 to 2021,109345,152735,222375
Total - Income status (LICO),      Economic immigrants,64575,93010,132680
Total - Income status (LICO),        Principal applicants,255,5190,37055
Total - Income status (LICO),        Secondary applicants,64325,87825,95625
Total - Income status (LICO),      Immigrants sponsored by family,15955,26195,49600
Total - Income status (LICO),      Refugees,26365,30440,36930
Total - Income status (LICO),      Other immigrants,2440,3085,3170
Total - Income status (LICO),    Immigrants admitted before 1980,0,0,0
Total - Income status (LICO),  Non-permanent residents,22575,96075,93385
  Population for the low income status variable,Total -  Population by immigration status,795070,884815,965420
  Population for the low income status variable,  Non-immigrants,663170,636030,649685
  Population for the low income status variable,  Immigrants,109330,152730,222350
  Population for the low income status variable,    Immigrants who landed 1980 to 2021,109330,152730,222350
  Population for the low income status variable,      Economic immigrants,64575,93010,132675
  Population for the low income status variable,        Principal applicants,255,5190,37055
  Population for the low income status variable,        Secondary applicants,64320,87825,95615
  Population for the low income status variable,      Immigrants sponsored by family,15950,26185,49580
  Population for the low income status variable,      Refugees,26365,30445,36930
  Population for the low income status variable,      Other immigrants,2440,3085,3170
  Population for the low income status variable,    Immigrants admitted before 1980,0,0,0
  Population for the low income status variable,  Non-permanent residents,22570,96060,93385
    Low income (LICO before tax),Total -  Population by immigration status,65595,123700,88355
    Low income (LICO before tax),  Non-immigrants,38395,47625,35390
    Low income (LICO before tax),  Immigrants,13250,18230,20765
    Low income (LICO before tax),    Immigrants who landed 1980 to 2021,13250,18230,20765
    Low income (LICO before tax),      Economic immigrants,6255,10825,11755
    Low income (LICO before tax),        Principal applicants,180,1785,4700
    Low income (LICO before tax),        Secondary applicants,6080,9045,7055
    Low income (LICO before tax),      Immigrants sponsored by family,2040,3250,4460
    Low income (LICO before tax),      Refugees,4580,3805,4270
    Low income (LICO before tax),      Other immigrants,375,350,290
    Low income (LICO before tax),    Immigrants admitted before 1980,0,0,0
    Low income (LICO before tax),  Non-permanent residents,13945,57850,32195
    Not low income (LICO before tax),Total -  Population by immigration status,729475,761120,877070
    Not low income (LICO before tax),  Non-immigrants,624770,588400,614295
    Not low income (LICO before tax),  Immigrants,96085,134500,201580
    Not low income (LICO before tax),    Immigrants who landed 1980 to 2021,96085,134500,201580
    Not low income (LICO before tax),      Economic immigrants,58320,82190,120915
    Not low income (LICO before tax),        Principal applicants,75,3410,32360
    Not low income (LICO before tax),        Secondary applicants,58240,78780,88560
    Not low income (LICO before tax),      Immigrants sponsored by family,13915,22935,45125
    Not low income (LICO before tax),      Refugees,21790,26640,32655
    Not low income (LICO before tax),      Other immigrants,2065,2730,2885
    Not low income (LICO before tax),    Immigrants admitted before 1980,0,0,0
    Not low income (LICO before tax),  Non-permanent residents,8620,38210,61190
    Low income (LICO after tax),Total -  Population by immigration status,49815,97855,64690
    Low income (LICO after tax),  Non-immigrants,27680,34170,23895
    Low income (LICO after tax),  Immigrants,9280,13645,15065
    Low income (LICO after tax),    Immigrants who landed 1980 to 2021,9280,13645,15065
    Low income (LICO after tax),      Economic immigrants,4930,8550,9135
    Low income (LICO after tax),        Principal applicants,150,1445,3830
    Low income (LICO after tax),        Secondary applicants,4780,7105,5305
    Low income (LICO after tax),      Immigrants sponsored by family,1485,2395,3050
    Low income (LICO after tax),      Refugees,2590,2450,2675
    Low income (LICO after tax),      Other immigrants,275,250,195
    Low income (LICO after tax),    Immigrants admitted before 1980,0,0,0
    Low income (LICO after tax),  Non-permanent residents,12855,50040,25735
    Not low income (LICO after tax),Total -  Population by immigration status,745255,786960,900730
    Not low income (LICO after tax),  Non-immigrants,635485,601860,625795
    Not low income (LICO after tax),  Immigrants,100055,139085,207290
    Not low income (LICO after tax),    Immigrants who landed 1980 to 2021,100055,139085,207290
    Not low income (LICO after tax),      Economic immigrants,59645,84465,123535
    Not low income (LICO after tax),        Principal applicants,100,3745,33225
    Not low income (LICO after tax),        Secondary applicants,59540,80720,90310
    Not low income (LICO after tax),      Immigrants sponsored by family,14465,23790,46530
    Not low income (LICO after tax),      Refugees,23775,27990,34250
    Not low income (LICO after tax),      Other immigrants,2165,2840,2975
    Not low income (LICO after tax),    Immigrants admitted before 1980,0,0,0
    Not low income (LICO after tax),  Non-permanent residents,9715,46020,67650
  Population - concept not applicable ,Total -  Population by immigration status,4220,3790,3755
  Population - concept not applicable ,  Non-immigrants,4215,3770,3730
  Population - concept not applicable ,  Immigrants,10,10,25
  Population - concept not applicable ,    Immigrants who landed 1980 to 2021,10,10,25
  Population - concept not applicable ,      Economic immigrants,0,0,0
  Population - concept not applicable ,        Principal applicants,0,0,0
  Population - concept not applicable ,        Secondary applicants,0,0,0
  Population - concept not applicable ,      Immigrants sponsored by family,0,0,15
  Population - concept not applicable ,      Refugees,0,0,0
  Population - concept not applicable ,      Other immigrants,0,0,0
  Population - concept not applicable ,    Immigrants admitted before 1980,0,0,0
  Population - concept not applicable ,  Non-permanent residents,0,15,0
Total - Household tenure,Total -  Population by immigration status,799290,888600,969170
Total - Household tenure,  Non-immigrants,667380,639795,653410
Total - Household tenure,  Immigrants,109345,152735,222375
Total - Household tenure,    Immigrants who landed 1980 to 2021,109345,152735,222375
Total - Household tenure,      Economic immigrants,64575,93010,132680
Total - Household tenure,        Principal applicants,255,5190,37055
Total - Household tenure,        Secondary applicants,64325,87825,95625
Total - Household tenure,      Immigrants sponsored by family,15955,26195,49600
Total - Household tenure,      Refugees,26365,30440,36930
Total - Household tenure,      Other immigrants,2440,3085,3170
Total - Household tenure,    Immigrants admitted before 1980,0,0,0
Total - Household tenure,  Non-permanent residents,22575,96075,93385
  Living in owner-occupied dwelling,Total -  Population by immigration status,591220,557530,541160
  Living in owner-occupied dwelling,  Non-immigrants,521005,444460,396005
  Living in owner-occupied dwelling,  Immigrants,63560,90315,123755
  Living in owner-occupied dwelling,    Immigrants who landed 1980 to 2021,63560,90315,123755
  Living in owner-occupied dwelling,      Economic immigrants,43840,61945,77535
  Living in owner-occupied dwelling,        Principal applicants,90,1785,14495
  Living in owner-occupied dwelling,        Secondary applicants,43755,60160,63040
  Living in owner-occupied dwelling,      Immigrants sponsored by family,9955,14970,28170
  Living in owner-occupied dwelling,      Refugees,8695,12010,16550
  Living in owner-occupied dwelling,      Other immigrants,1070,1390,1495
  Living in owner-occupied dwelling,    Immigrants admitted before 1980,0,0,0
  Living in owner-occupied dwelling,  Non-permanent residents,6660,22750,21400
  Living in rented dwelling,Total -  Population by immigration status,197880,322505,421365
  Living in rented dwelling,  Non-immigrants,136255,186970,250980
  Living in rented dwelling,  Immigrants,45710,62225,98405
  Living in rented dwelling,    Immigrants who landed 1980 to 2021,45710,62225,98405
  Living in rented dwelling,      Economic immigrants,20695,30925,54970
  Living in rented dwelling,        Principal applicants,160,3405,22550
  Living in rented dwelling,        Secondary applicants,20535,27520,32420
  Living in rented dwelling,      Immigrants sponsored by family,5965,11175,21390
  Living in rented dwelling,      Refugees,17675,18430,20375
  Living in rented dwelling,      Other immigrants,1370,1690,1675
  Living in rented dwelling,    Immigrants admitted before 1980,0,0,0
  Living in rented dwelling,  Non-permanent residents,15915,73310,71970
    Subsidized housing,Total -  Population by immigration status,32665,30750,27405
    Subsidized housing,  Non-immigrants,24575,20370,17850
    Subsidized housing,  Immigrants,6700,6875,6870
    Subsidized housing,    Immigrants who landed 1980 to 2021,6700,6875,6870
    Subsidized housing,      Economic immigrants,1565,1745,1715
    Subsidized housing,        Principal applicants,20,195,415
    Subsidized housing,        Secondary applicants,1545,1550,1305
    Subsidized housing,      Immigrants sponsored by family,745,1145,1685
    Subsidized housing,      Refugees,4050,3745,3205
    Subsidized housing,      Other immigrants,340,240,260
    Subsidized housing,    Immigrants admitted before 1980,0,0,0
    Subsidized housing,  Non-permanent residents,1390,3495,2690
    Not subsidized housing,Total -  Population by immigration status,165215,291755,393965
    Not subsidized housing,  Non-immigrants,111680,166595,233135
    Not subsidized housing,  Immigrants,39010,55350,91540
    Not subsidized housing,    Immigrants who landed 1980 to 2021,39010,55350,91540
    Not subsidized housing,      Economic immigrants,19130,29180,53250
    Not subsidized housing,        Principal applicants,135,3210,22135
    Not subsidized housing,        Secondary applicants,18990,25970,31115
    Not subsidized housing,      Immigrants sponsored by family,5225,10035,19710
    Not subsidized housing,      Refugees,13620,14685,17165
    Not subsidized housing,      Other immigrants,1035,1450,1415
    Not subsidized housing,    Immigrants admitted before 1980,0,0,0
    Not subsidized housing,  Non-permanent residents,14520,69810,69285
"  Dwelling provided by the local government, First Nation or Indian band",Total -  Population by immigration status,2965,2605,2485
"  Dwelling provided by the local government, First Nation or Indian band",  Non-immigrants,2965,2600,2465
"  Dwelling provided by the local government, First Nation or Indian band",  Immigrants,0,10,15
"  Dwelling provided by the local government, First Nation or Indian band",    Immigrants who landed 1980 to 2021,0,10,15
"  Dwelling provided by the local government, First Nation or Indian band",      Economic immigrants,0,0,10
"  Dwelling provided by the local government, First Nation or Indian band",        Principal applicants,0,0,0
"  Dwelling provided by the local government, First Nation or Indian band",        Secondary applicants,0,0,10
"  Dwelling provided by the local government, First Nation or Indian band",      Immigrants sponsored by family,0,0,10
"  Dwelling provided by the local government, First Nation or Indian band",      Refugees,0,0,0
"  Dwelling provided by the local government, First Nation or Indian band",      Other immigrants,0,0,0
"  Dwelling provided by the local government, First Nation or Indian band",    Immigrants admitted before 1980,0,0,0
"  Dwelling provided by the local government, First Nation or Indian band",  Non-permanent residents,0,0,0
